#               time                E_H  E_UniformExchange            E_total                H_x                H_y                H_z                m_x                m_y                m_z            m_error          real_time          rhs_evals               step 
#                <s>                <J>                <J>                <J>                 <>                 <>                 <>                 <>                 <>                 <>                 <>                <s>                 <>                 <> 
                   0   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589494.82                  0                  0 
               5e-12   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589494.84                  8              5e-12 
               1e-11   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589494.84                 15            1.5e-11 
             1.5e-11   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589494.85                 22              3e-11 
               2e-11   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589494.86                 29              5e-11 
             2.5e-11   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589494.87                 36            7.5e-11 
               3e-11   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589494.88                 43           1.05e-10 
             3.5e-11   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589494.89                 50            1.4e-10 
               4e-11   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0       1517589494.9                 57            1.8e-10 
             4.5e-11   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589494.91                 64           2.25e-10 
               5e-11   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589494.91                 71           2.75e-10 
             5.5e-11   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589494.92                 78            3.3e-10 
               6e-11   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589494.93                 85            3.9e-10 
             6.5e-11   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589494.94                 92           4.55e-10 
               7e-11   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589494.95                 99           5.25e-10 
             7.5e-11   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589494.96                106              6e-10 
               8e-11   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589494.97                113            6.8e-10 
             8.5e-11   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589494.98                120           7.65e-10 
               9e-11   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589494.99                127           8.55e-10 
             9.5e-11   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0         1517589495                134            9.5e-10 
               1e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.01                141           1.05e-09 
            1.05e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.02                148          1.155e-09 
             1.1e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.03                155          1.265e-09 
            1.15e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.04                162           1.38e-09 
             1.2e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.05                169            1.5e-09 
            1.25e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.06                176          1.625e-09 
             1.3e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.07                183          1.755e-09 
            1.35e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.08                190           1.89e-09 
             1.4e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.09                197           2.03e-09 
            1.45e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0       1517589495.1                204          2.175e-09 
             1.5e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.11                211          2.325e-09 
            1.55e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.12                218           2.48e-09 
             1.6e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.13                225           2.64e-09 
            1.65e-10   3.4073931087e-18                  0   3.4073931087e-18     -19576.0580003      3421.83127648                  0      0.96560909917     0.241402274793     0.096560909917                  0      1517589495.14                232          2.805e-09 
